FK104_C_denti	FK104_C_denti
JH010_C_wolfi_elegans	JH010_C_wolfi_elegans
ME403_C_mitis_stuhlmanni	ME403_C_mitis_stuhlmanni
PD_0033_Cercopithecus_nictitans_nictitans	PD_0033_Cercopithecus_nictitans_nictitans
PD_0041_Cercopithecus_cephus_ssp	PD_0041_Cercopithecus_cephus_ssp
PD_0043_Cercopithecus_lowei_ssp	PD_0043_Cercopithecus_lowei_ssp
PD_0090_Cercopithecus_nictitans	PD_0090_Cercopithecus_nictitans	
PD_0091_Cercopithecus_petaurista	PD_0091_Cercopithecus_petaurista
PD_0092_Cercopithecus_pogonias	PD_0092_Cercopithecus_pogonias
PD_0094_Cercopithecus_cephus	PD_0094_Cercopithecus_cephus
PD_0095_Cercopithecus_cephus	PD_0095_Cercopithecus_cephus
PD_0096_Cercopithecus_mitis	PD_0096_Cercopithecus_mitis
PD_0406_Cercopithecus_ascanius_ssp	PD_0406_Cercopithecus_ascanius_ssp
PPN005_C_wolfi_wolfi	PPN005_C_wolfi_wolfi
SAMN13555794_Cercopithecus_nictitans	SAMN13555794_Cercopithecus_nictitans
